alpha,esi_2023,level_2023,mean_last5,level_dist
0.0,0.4254,轻警,0.4484,"{'中警': 2, '轻警': 14, '较安全': 3}"
0.1,0.4406,轻警,0.4626,"{'中警': 2, '轻警': 14, '较安全': 3}"
0.2,0.4559,轻警,0.4769,"{'中警': 1, '轻警': 15, '较安全': 3}"
0.3,0.4711,轻警,0.4912,"{'中警': 1, '轻警': 16, '较安全': 2}"
0.4,0.4864,轻警,0.5055,"{'中警': 1, '轻警': 16, '较安全': 2}"
0.5,0.5016,轻警,0.5197,"{'中警': 1, '轻警': 15, '较安全': 3}"
0.6,0.5169,轻警,0.534,"{'中警': 1, '轻警': 13, '较安全': 5}"
0.7,0.5321,轻警,0.5483,"{'重警': 1, '轻警': 12, '较安全': 6}"
0.8,0.5474,轻警,0.5626,"{'重警': 1, '中警': 1, '轻警': 8, '较安全': 9}"
0.9,0.5626,轻警,0.5768,"{'重警': 1, '中警': 1, '轻警': 5, '较安全': 12}"
1.0,0.5779,轻警,0.5911,"{'重警': 1, '中警': 1, '轻警': 5, '较安全': 12}"
