year,precip_mm,temp_c,grass_pct,forest_pct,water_pct,barren_pct,crop_pct,grass_chg_rate,ecoland_pct
2005,228.044,1.289,35.032,1.147,1.75,58.238,3.834,0.0,37.929
2006,208.906,1.975,35.325,1.157,1.78,57.888,3.85,0.836,38.262
2007,283.054,1.69,35.618,1.166,1.811,57.537,3.867,0.83,38.596
2008,217.505,1.051,35.911,1.176,1.842,57.187,3.883,0.823,38.93
2009,229.975,1.739,36.204,1.186,1.873,56.837,3.899,0.816,39.263
2010,245.573,1.696,36.497,1.196,1.903,56.487,3.916,0.809,39.597
2011,198.493,1.467,36.514,1.205,1.909,56.447,3.925,0.046,39.628
2012,262.271,0.807,36.531,1.213,1.915,56.407,3.934,0.046,39.659
2013,197.181,1.761,36.548,1.222,1.92,56.367,3.943,0.046,39.69
2014,229.783,1.268,36.565,1.23,1.926,56.327,3.952,0.046,39.721
2015,208.967,1.555,36.582,1.239,1.932,56.286,3.961,0.046,39.752
2016,227.321,1.749,36.415,1.243,1.98,56.403,3.96,-0.458,39.637
2017,252.286,1.922,36.247,1.247,2.028,56.519,3.959,-0.46,39.522
2018,283.459,1.229,36.08,1.251,2.075,56.635,3.959,-0.462,39.406
2019,284.391,1.461,35.912,1.255,2.123,56.751,3.958,-0.464,39.291
2020,169.513,1.401,35.745,1.26,2.171,56.867,3.957,-0.466,39.176
2021,222.812,1.688,35.696,1.269,2.154,56.914,3.966,-0.136,39.12
2022,191.68,1.756,35.648,1.279,2.137,56.961,3.976,-0.136,39.064
2023,166.87,1.917,35.599,1.288,2.12,57.008,3.985,-0.136,39.007
