,降水,气温,草地,森林,水域,裸地/荒漠,农田,草地变化率,生态用地
2005,0.0519,0.04,0.1366,0.1607,0.1708,0.064,0.0,0.1859,0.1901
2006,0.0975,0.0,0.1553,0.2096,0.222,0.0736,0.0242,0.0,0.2178
2007,0.0021,0.0285,0.1453,0.2365,0.2496,0.0702,0.059,0.0026,0.2062
2008,0.1018,0.0891,0.0977,0.2098,0.2205,0.0488,0.0855,0.0051,0.1417
2009,0.1052,0.0289,0.0699,0.2429,0.2539,0.0379,0.1447,0.0096,0.107
2010,0.0923,0.0421,0.0193,0.2695,0.2801,0.017,0.2225,0.0155,0.0418
2011,0.1307,0.0489,0.0099,0.1567,0.1755,0.0087,0.1581,0.2901,0.0214
2012,0.0353,0.1182,0.0078,0.1479,0.1802,0.0068,0.1825,0.3045,0.0168
2013,0.1403,0.0219,0.0052,0.1323,0.1775,0.0046,0.2004,0.3066,0.0113
2014,0.0893,0.0733,0.0027,0.1175,0.1765,0.0023,0.2207,0.3119,0.0058
2015,0.1247,0.044,0.0,0.1016,0.1743,0.0,0.2401,0.3152,0.0
2016,0.0813,0.0204,0.0228,0.0802,0.1202,0.0059,0.2055,0.4451,0.0186
2017,0.0478,0.005,0.0477,0.076,0.0941,0.0123,0.213,0.4654,0.0388
2018,0.0013,0.0684,0.0695,0.0663,0.061,0.0179,0.2057,0.4532,0.0566
2019,0.0,0.0477,0.094,0.0596,0.0309,0.0243,0.207,0.4601,0.0765
2020,0.1423,0.045,0.0992,0.0439,0.0,0.0256,0.1736,0.3894,0.0808
2021,0.0912,0.027,0.1255,0.035,0.0111,0.0331,0.2235,0.3475,0.1061
2022,0.1286,0.0192,0.124,0.0164,0.0208,0.0333,0.2241,0.3255,0.1081
2023,0.1557,0.0049,0.1246,0.0,0.0299,0.034,0.2282,0.311,0.1117
